rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
13236,content_d0eff497e4ea,0.0,FRESH_OR_GROWING,NO_ACTION,95,170,268
13237,content_eb55bec088a5,0.0,FRESH_OR_GROWING,NO_ACTION,98,104,80
13238,content_7fafa0ffde60,0.0,FRESH_OR_GROWING,NO_ACTION,181,8,8
13239,content_ddfe12fa817b,0.0,FRESH_OR_GROWING,NO_ACTION,126,2,7
13240,content_5e77414b4bfc,0.0,FRESH_OR_GROWING,NO_ACTION,103,2929,2350
13241,content_6c7458cbc8c6,0.0,FRESH_OR_GROWING,NO_ACTION,98,0,3
13242,content_a000fa4903a3,0.0,FRESH_OR_GROWING,NO_ACTION,480,76,112
13243,content_92b095903ea8,0.0,FRESH_OR_GROWING,NO_ACTION,298,0,1
13244,content_681a43300b4f,0.0,FRESH_OR_GROWING,NO_ACTION,97,2268,517
13245,content_503abe4cad3a,0.0,FRESH_OR_GROWING,NO_ACTION,120,1,1
13246,content_ba3bce65bef6,0.0,FRESH_OR_GROWING,NO_ACTION,125,126,27
13247,content_91a0e26c35ce,0.0,FRESH_OR_GROWING,NO_ACTION,107,0,3
13248,content_d261aea14d45,0.0,FRESH_OR_GROWING,NO_ACTION,482,111,156
13249,content_54846e719c1c,0.0,FRESH_OR_GROWING,NO_ACTION,124,1880,597
13250,content_a57d4e24594d,0.0,FRESH_OR_GROWING,NO_ACTION,438,37,41
13251,content_c87c1d1e3acd,0.0,FRESH_OR_GROWING,NO_ACTION,375,0,0
13252,content_0bebf38cb9b3,0.0,FRESH_OR_GROWING,NO_ACTION,105,33618,36876
13253,content_6bf6954c2a49,0.0,FRESH_OR_GROWING,NO_ACTION,95,142,77
13254,content_575fd096bff5,0.0,FRESH_OR_GROWING,NO_ACTION,140,206,57
13255,content_fa3aad50d0be,0.0,FRESH_OR_GROWING,NO_ACTION,98,820,519
13256,content_e42f025c0064,0.0,FRESH_OR_GROWING,NO_ACTION,230,0,0
13257,content_03d074e8f486,0.0,FRESH_OR_GROWING,NO_ACTION,147,2448,942
13258,content_30f62d57cc3f,0.0,FRESH_OR_GROWING,NO_ACTION,95,1150,465
13259,content_b31d578ae5c8,0.0,FRESH_OR_GROWING,NO_ACTION,138,4,5
13260,content_fa24b520abcb,0.0,FRESH_OR_GROWING,NO_ACTION,345,1528,1535
13261,content_269dec00b4b9,0.0,FRESH_OR_GROWING,NO_ACTION,313,2,3
13262,content_a25894b536b9,0.0,FRESH_OR_GROWING,NO_ACTION,228,0,1
13263,content_6272bc5f92da,0.0,FRESH_OR_GROWING,NO_ACTION,112,309,133
13264,content_43908979b8b2,0.0,FRESH_OR_GROWING,NO_ACTION,420,1924,4083
13265,content_d56368171517,0.0,FRESH_OR_GROWING,NO_ACTION,95,216,52
13266,content_0c1ddb69fb2e,0.0,FRESH_OR_GROWING,NO_ACTION,310,14,15
13267,content_134631e65b9e,0.0,FRESH_OR_GROWING,NO_ACTION,118,1037,60
13268,content_4f655e5ec6d0,0.0,FRESH_OR_GROWING,NO_ACTION,111,579,127
13269,content_bb600f317035,0.0,FRESH_OR_GROWING,NO_ACTION,91,0,1
13270,content_f002785482f9,0.0,FRESH_OR_GROWING,NO_ACTION,145,25,14
13271,content_7f96c36789a6,0.0,FRESH_OR_GROWING,NO_ACTION,144,123,94
13272,content_4afeef21b856,0.0,FRESH_OR_GROWING,NO_ACTION,211,2547,3118
13273,content_3dfc7619b055,0.0,FRESH_OR_GROWING,NO_ACTION,300,176,231
13274,content_5eb5b1b03d9e,0.0,FRESH_OR_GROWING,NO_ACTION,90,779,301
13275,content_88423141893a,0.0,FRESH_OR_GROWING,NO_ACTION,482,668,879
13276,content_04eed071ff2e,0.0,FRESH_OR_GROWING,NO_ACTION,389,55,87
13277,content_ec2b30990125,0.0,FRESH_OR_GROWING,NO_ACTION,98,140,47
13278,content_a2a14a07ab44,0.0,FRESH_OR_GROWING,NO_ACTION,482,225,321
13279,content_5dc02b37c07f,0.0,FRESH_OR_GROWING,NO_ACTION,279,0,2
13280,content_aec843213e41,0.0,FRESH_OR_GROWING,NO_ACTION,97,48,12
13281,content_c55883a044ac,0.0,FRESH_OR_GROWING,NO_ACTION,90,4,0
13282,content_2d82da2bbaab,0.0,FRESH_OR_GROWING,NO_ACTION,216,13164,17158
13283,content_65cbf6d4d030,0.0,FRESH_OR_GROWING,NO_ACTION,90,7477,3219
13284,content_835a36182e78,0.0,FRESH_OR_GROWING,NO_ACTION,116,0,3
13285,content_d2bbf0f53d53,0.0,FRESH_OR_GROWING,NO_ACTION,112,171,77
13286,content_d677f029a39e,0.0,FRESH_OR_GROWING,NO_ACTION,390,4031,4136
13287,content_800b1211cce9,0.0,FRESH_OR_GROWING,NO_ACTION,141,15,18
13288,content_e9e566834681,0.0,FRESH_OR_GROWING,NO_ACTION,120,23,17
13289,content_2b45109000cf,0.0,FRESH_OR_GROWING,NO_ACTION,494,18,19
13290,content_05dfd8a6feb6,0.0,FRESH_OR_GROWING,NO_ACTION,95,1470,758
13291,content_d1b527dbbca3,0.0,FRESH_OR_GROWING,NO_ACTION,90,466,436
13292,content_a0ab940c946c,0.0,FRESH_OR_GROWING,NO_ACTION,141,0,0
13293,content_f47336c85dbb,0.0,FRESH_OR_GROWING,NO_ACTION,125,5606,2172
13294,content_ee060472591b,0.0,FRESH_OR_GROWING,NO_ACTION,144,45,13
13295,content_364f4e67f7a0,0.0,FRESH_OR_GROWING,NO_ACTION,153,371,851
13296,content_611615ca6d4a,0.0,FRESH_OR_GROWING,NO_ACTION,146,1,0
13297,content_aa494a42aff2,0.0,FRESH_OR_GROWING,NO_ACTION,113,28,0
13298,content_152e0608ed04,0.0,FRESH_OR_GROWING,NO_ACTION,153,141,122
13299,content_27ae30b15e1b,0.0,FRESH_OR_GROWING,NO_ACTION,480,35012,46211
13300,content_89ff106de581,0.0,FRESH_OR_GROWING,NO_ACTION,111,3349,268
13301,content_9573f22c8b16,0.0,FRESH_OR_GROWING,NO_ACTION,95,721,349
13302,content_91e25df3e98d,0.0,FRESH_OR_GROWING,NO_ACTION,463,65,75
13303,content_282a94418503,0.0,FRESH_OR_GROWING,NO_ACTION,175,0,98
13304,content_2f3a4e907edd,0.0,FRESH_OR_GROWING,NO_ACTION,174,641,153
13305,content_92dfc8f4d69e,0.0,FRESH_OR_GROWING,NO_ACTION,145,52,36
